"Week","Infected","Susceptibles"
123,29.2481091054892,29672.1514360012
124,26.0356296778429,29766.1158063233
125,23.2493870424366,29862.8664192809
126,20.8288001873533,29962.0376190936
127,18.7221988432219,30063.3154202503
128,16.8855410755328,30166.4298791748
129,15.2812947248096,30271.14858445
130,13.8774702953245,30377.2711141547
131,12.646790326191,30484.6243238285
132,11.5659795598848,30593.0583442686
133,10.6151606245252,30702.4431836441
134,9.77734097879224,30812.6658426653
135,9.0379782122797,30923.627864453
136,8.38461224650714,31035.2432522065
137,7.80655441937336,31147.4366977871
138,7.29462478815786,31260.142072999
139,6.84093021741104,31373.3011427815
140,6.43867691422772,31486.8624658673
141,6.0820120338133,31600.7804538335
142,5.76588980994322,31715.0145640236
143,5.48595837890713,31829.5286056447
144,5.23846407452401,31944.2901415701
145,5.0201704887836,32059.2699710813
146,4.82829003002307,32174.4416810513
147,4.66042607970536,32289.7812549716
148,4.51452416005953,32405.2667308116
149,4.38883078708266,32520.8779000245
150,4.28185890451751,32636.59604112
151,4.19235898115431,32752.4036821388
152,4.11929501193618,32868.2843871269
153,4.06182479780375,32984.2225623291
154,4.01928399419839,33100.2032783349
155,3.99117351723973,33216.2121048176
156,3.97714998287297,33332.2349548348
157,3.97701893039217,33448.2579359044
158,3.99073064999195,33564.2672052544
159,4.01837849641585,33680.248826758
160,4.06019962918138,33796.1886271288
161,4.11657817594837,33912.0720489528
162,4.18805087093724,34027.8839980819
163,4.27531527642954,34143.6086828055
164,4.37924075382092,34259.2294420516
165,4.50088241301402,34374.7285596386
166,4.64149833678625,34490.0870613018
167,4.80257045191936,34605.2844908499
168,4.98582950328058,34720.2986613466
169,5.19328468285365,34835.1053766638
170,5.42725857534663,34949.6781180884
171,5.69042820816,35063.9876898803
172,5.98587313923209,35178.001816741
173,6.31713168500064,35291.684685056
174,6.68826658623058,35404.9964184698
175,7.10394163593795,35517.8924768339
176,7.56951105560842,35630.3229657783
177,8.09112370813072,35742.2318420701
178,8.67584458316636,35853.555997487
179,9.33179638764147,35964.2242010993
180,10.0683245245244,36074.1558765748
181,10.896189249409,36183.2596873254
182,11.8277893564083,36291.431897969
183,12.8774223579484,36398.554475611
184,14.0615867760371,36504.492888835
185,15.3993328341475,36609.0935560009
186,16.9126684927591,36712.1808875081
187,18.6270283498989,36813.5538591582
188,20.5718133418521,36912.9820458164
189,22.7810092961302,37010.2010365202
190,25.2938920159384,37104.9071445043
191,28.1558254372354,37196.7513190671
192,31.4191571091572,37285.3321619579
193,35.14421127191,37370.187950686
194,39.4003734182969,37450.7875772677
195,44.2672504606098,37526.5203268071
196,49.835876226658,37596.6844505804
197,56.2099113843554,37660.4745391961
198,63.5067580962295,37716.9677810998
199,71.8584704699276,37765.1093106299
200,81.4122897657447,37803.6970208642
201,92.3305660823704,37831.3664547818
202,104.789744413188,37846.5767103686
203,118.977993011809,37847.5987173568
204,135.090940071223,37832.5077772856
205,153.324871226561,37799.182906059
206,173.866645546222,37745.3162605128
207,196.879545698899,37668.4367148139
208,222.484341228008,37565.9523735859
209,250.7350849932,37435.2172885927
210,281.589671657826,37273.6276169349
211,314.876056864463,37078.7515600704
212,350.256332540761,36848.4952275296
213,387.192563941207,36581.3026635884
214,424.920251118724,36276.3824124697
215,462.437085731565,35933.9453267381
216,498.515668672025,35555.4296580661
217,531.748163727359,35143.6814943388
218,560.627643037014,34703.0538513017
219,583.664738605256,34239.3891126965
220,599.52972289397,33759.8593898025
221,607.201174347231,33272.6582154553
222,606.095914262354,32786.5623011929
223,596.154043603835,32310.4082575891
224,577.859415997575,31852.5488415915
225,552.188858149089,31420.3599834424
226,520.499181056712,31019.8608023857
227,484.37436432405,30655.4864380617
228,445.461952694419,30330.0244853673
